A1: Ladder,B1: mat_wt_1,C1: mat_wt_2,D1: mat_wt_3,E1: mat_ds_1,F1: mat_ds_2,G1: mat_ds_3,H1: mat_s4_1,A2: mat_s4_2,B2: mat_s4_3,C2: mat_d3_1,D2: mat_d3_2,E2: mat_d3_3,F2: mat_s1_1,G2: mat_s1_2,H2: mat_s1_3,A3: mat_d7_1,B3: mat_d7_2,C3: mat_d7_3,D3: Ladder,E3: pro_wt_1,F3: pro_wt_2,G3: pro_wt_3,H3: pro_ds_1,A4: pro_ds_2,B4: pro_ds_3,C4: pro_s4_1,D4: pro_s4_2,E4: pro_s4_3,F4: pro_d3_1,G4: pro_d3_2,H4: pro_d3_3,A5: pro_s1_1,B5: pro_s1_2,C5: pro_s1_3,D5: pro_d7_1,E5: pro_d7_2,F5: pro_d7_3
0,1.274859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012567,0,0,0,0,0,0,0.01601716,0,0,0,0
0,1.017231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.042282,0,0,0,0,0,0,0.07063735,0,0,0,0.1456454
0,1.110229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47239,0,0,0,0,0,0,0,0,0,0.6824405,0.002386235,0,0,0,0,0,0.004189163,0,0,0,0.4278219
0,1.267638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.273351,0,0,0,0,0,0,0,0,0.1587009,0.4646644,0.3563198,0,0,0,0,0,0,0,0,0,0.3081354
0,1.160189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045948,0,0,0,0,0,0,0,0,0.438882,0.1877747,0.3712024,0,0,0,0,0,0.06230275,0,0,0,0.1626153
0,0.9872624,2.277673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894617,0,0,3.331359,0,0,0,0,0,0.4424395,0.2636183,0.2546218,0,0,0,0,0,0.3117023,0.002820014,0,0,0.04977839
0,0.9395677,1.740235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8011315,0,0,2.654399,0,0,0,0,0,0.3883042,0.4968394,0.1138267,0,0,0,0,0,0.2995366,0.1194386,0,0,0.01221638
0,0.7853138,1.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9027405,0,0,2.206152,0,0,0,0.3677475,0,0.3150456,0.667155,0.005093853,0,0,0,0,0.1348501,0.3984613,0.08425377,0,0,0.05639974
0,0.3553646,1.2862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9513875,0,0,1.638234,0,0,0,0.6940087,0,0.2767756,0.8904948,0.01573311,0,0,0,0,0.06358021,0.5517572,0.0232525,0,0,0.4558585
0,0.4326782,1.200355,0,0,0,0,0,0.5050517,0,0,0,0,0,0,0,0.8581038,0.08047006,0,2.039201,0,0,0,0.9643257,0,0.06780042,1.002735,0.1900202,0,0,0,0,0.00778399,0.369376,0,0,0,0.5515583
0,0.6249813,1.102538,0,0,0,0,0,1.104004,0,0,0,0,0,0,0,0.9208061,0.3163898,0,2.398218,0,0,0,1.060293,0,0,0.7057846,0.3900024,0,0.1522232,0.2555961,0,0.01567499,0.2468726,0.03159144,0,0,0.4467291
0,0.5022671,1.206817,0.09113019,0,0,0,0,0.9762185,0,0,0,0,0,0,0,1.061055,0.7355991,0.09045455,2.332202,0,0,0,1.244952,0,0.09531429,0.517913,0.486244,0.3972345,0.1432171,0.2353775,0,0.2122359,0.2159981,0.02800158,0,0.03902197,0.3756696
0,0.7787248,0.8902035,0.4831938,0,0,0,0,0.8096241,0,0,0,0,0,0,0,0.718332,1.093785,0.08482402,2.392271,0,0,0,1.311322,0.5744358,0.259171,0.5072569,0.4969667,0.2067924,0.2735547,0.428246,0,0.3573575,0.1290571,0.5364354,0,0.3170596,0.2341971
0,1.245318,0.4964013,0.6984601,0,0,0,0,0.6215635,0,0,0,0,0,0,0,0.5609568,1.269544,0,2.572305,0,0,0,1.145808,0.4119556,0.4500987,0.5148727,0.505833,0.004419737,0.2591784,0.3492124,0,0.1882312,0.05444082,0.9495061,0,0.593126,0.3571959
0.1798242,1.489085,0.282221,0.8213021,0.3586975,0,0,0,0.5941694,0,0,0,0,0,0,0,1.070018,1.301552,0,2.236822,0,0,0,0.905035,0.1805092,0.4082535,0.3335838,0.5297034,0.006672411,0.116837,0.3964421,0,0.2377659,0.2185287,1.033102,0,0.9485851,0.3831518
2.686648,1.145626,0.3253672,0.5843543,1.245019,0,0,0,0.7095163,0,0,0,0,0,0,0,1.373929,1.201972,0.2905022,2.117362,1.087136,0,0,0.8456798,0.005559631,0.4285274,0.3423617,0.572253,0.1126563,0.03967163,0.3732242,0,0.2321528,0.3216711,0.9794942,0,1.370197,0.3216862
3.372476,1.048349,0.3966531,0.07338239,1.321146,0,0,0,0.9349824,0,0,0,0,0,0,0,1.851836,0.9087012,1.084815,2.324225,1.105994,0,0,0.802435,0.07768974,0.2190125,0.4749954,0.5895462,0.1946911,3.075055E-05,0.3422271,0,0.452345,0.3559375,1.001993,0,1.5716,0.4064764
3.880746,0.8428399,0.6706526,0.1460897,1.019518,0.5129156,0,0,0.8383568,0,0,0,0,0,0,0,2.334733,0.8366594,1.492902,2.986563,0.9342417,0,0.2549584,0.4525565,0.1018806,0.3092926,0.3317388,0.7509477,0.3701325,0.1343706,0.1618805,0.1002026,0.5628953,0.4018324,0.9994825,0,1.707352,0.3749118
4.388715,0.5783543,0.9924461,0.240279,0.8389859,1.052326,0,0.3521958,0.604252,0,0,0,0,0,0,0,2.208668,1.001884,1.541406,3.495888,0.8383259,0,0.6752548,0.4408939,0.3198762,0.4522709,0.3285169,0.9483481,0.5843714,0.4307732,0.02557639,0.277802,0.5983735,0.4909039,0.9037332,0,1.708014,0.5115153
4.246619,0.4985519,1.31869,0.349676,0.4710208,1.208863,0,0.5628698,0.342367,0,0,0,0,0,0,0,1.873246,0.869696,1.285228,3.707838,0.6973457,0.2988814,0.8800278,0.563961,0.4136049,0.5123813,0.3419948,0.8096695,0.555814,0.6519732,0.08982918,0.4519473,0.6559035,0.5611194,1.032973,0.03276028,1.958987,0.5126922
4.478378,0.7118215,1.197208,0.405102,0.1050765,1.207714,0,0.8285993,0.1304034,0,0,0,0,0,0,0,1.161171,0.7335836,0.7588934,4.004909,0.5401048,0.8670709,0.8714257,0.5719448,0.3873208,0.6702312,0.3577844,0.6853275,0.554823,0.7763512,0,0.5456278,0.2729306,0.4940696,1.144325,0.4071702,1.633991,0.5488482
4.222743,0.9396881,0.7018902,0.5812802,0.1278034,1.185895,0,0.7333631,0.3802139,0.1477045,0,0,0,0,0,0,0.8597485,0.7190332,0.5405635,3.171701,0.6209211,1.237052,0.5613726,0.3207542,0.2678433,0.5573377,0.2300065,0.473621,0.5187396,0.6347827,0,0.5934637,0.09313647,0.4731521,1.256566,0.8958102,1.669632,0.5069739
4.495511,0.9232405,0.3847299,0.7083544,0.2544146,0.7533204,0.06910057,0.5558771,0.579422,1.307476,0,0,0,0,0,0,0.3614245,0.4365681,0.4105,2.693051,0.4679621,1.532908,0.5157145,0.1084935,0.2874627,0.4398565,0.150054,0.3633793,0.3252747,0.7635912,0.2034484,0.633489,0.004189014,0.6251114,1.251699,1.144915,1.533651,0.3641676
4.349524,0.8256901,0.2287215,0.5725043,0.4866865,0.5703169,0.2222321,0.3174787,1.052304,1.074516,0,0,0,0,0,0,0.1412235,0.322826,0.4002149,2.745108,0.4040273,1.473971,0.3298692,0.09893746,0.1673705,0.2841125,0.1252835,0.3139997,0.1383294,0.8905464,0.3938589,0.5316508,0.2389643,0.4225232,1.175295,1.210478,1.468465,0.2348511
3.609289,0.6041588,0.08985969,0.6418757,0.3122928,0.4070398,0.2973283,0.278525,1.218568,1.006682,0,0,0,0,0,0,0.1329386,0.2956947,0.04494694,3.023083,0.4736136,1.345709,0.3541527,0.1456101,0.005903464,0.3790455,0.130606,0.4820513,0,1.087891,0.4850336,0.5234059,0.4151675,0.1024864,0.9135627,1.296009,1.873465,0.00977379
2.914023,0.3153949,0.08254308,0.6997362,0.6673289,1.117194,0.2553425,0.169634,1.565855,1.259612,0,0,0,0,0,0,0.7893775,0.1306143,0.1482352,2.96271,0.303428,1.217696,0.2739981,0.6109012,0.192739,0.5218029,0.1270986,0.639644,0.08527348,1.254694,0.6998602,0.3687403,0.548472,0.05783687,0.719961,1.32065,2.389556,0.2245684
2.137107,0.09229601,0.1069941,0.8209547,0.718283,1.723408,0.3126415,0.07798865,1.574174,1.680842,0,0,0,0,0,0,1.379006,0.004669738,0.005044159,2.359937,0.1537972,1.156428,0.1854718,1.192081,0.2873726,0.6679769,0.2247552,0.7190585,0.4919131,1.386261,0.7327253,0.1720745,0.3418722,0.2617586,0.5168667,1.529029,2.791099,0.1846179
1.524043,0.03643117,0.3263365,0.9883453,0.6111579,2.315905,0.2783114,0.4334814,1.477628,1.11609,0,0,0,0,0,1.704961,1.604272,0.3321061,0.1758706,1.860099,0.04381213,1.065334,0.1522139,1.420881,0.3384612,0.7680488,0.1429619,0.7531313,0.9117857,1.293236,0.6490021,0.2874357,0.1809359,0.1600331,0.597208,1.640279,2.659426,0.04092333
1.191135,0.1698312,0.008155498,0.9733519,0.8216652,2.542942,0.3062635,0.6932126,1.425836,1.113623,0,0,0,0,0,2.691015,1.821513,0.7617669,0.4289524,0.8739257,0.305057,0.8672819,0.2354144,1.218329,0.3369149,0.772536,0.018302,0.913906,1.007169,1.063738,0.6299608,0.5554452,0,0.3594274,0.8874323,1.777426,2.609753,0
